timestamp_ms,pwm_us,adc_raw,throttle_pct,esc_type,system_state
9412,1500,0,-100,BI,WAITING_NEUTRAL
9491,1500,0,-100,BI,WAITING_NEUTRAL
9569,1500,0,-100,BI,WAITING_NEUTRAL
9647,1500,0,-100,BI,WAITING_NEUTRAL
9724,1500,0,-100,BI,WAITING_NEUTRAL
9802,1500,0,-100,BI,WAITING_NEUTRAL
9881,1500,0,-100,BI,WAITING_NEUTRAL
9959,1500,0,-100,BI,WAITING_NEUTRAL
10037,1500,0,-100,BI,WAITING_NEUTRAL
10115,1500,0,-100,BI,WAITING_NEUTRAL
10192,1500,0,-100,BI,WAITING_NEUTRAL
10271,1500,0,-100,BI,WAITING_NEUTRAL
10349,1500,0,-100,BI,WAITING_NEUTRAL
10427,1500,0,-100,BI,WAITING_NEUTRAL
10505,1500,0,-100,BI,WAITING_NEUTRAL
10583,1500,0,-100,BI,WAITING_NEUTRAL
10661,1500,0,-100,BI,WAITING_NEUTRAL
10739,1500,0,-100,BI,WAITING_NEUTRAL
10817,1500,0,-100,BI,WAITING_NEUTRAL
10895,1500,0,-100,BI,WAITING_NEUTRAL
10974,1500,0,-100,BI,WAITING_NEUTRAL
11052,1500,0,-100,BI,WAITING_NEUTRAL
11129,1500,0,-100,BI,WAITING_NEUTRAL
11207,1500,0,-100,BI,WAITING_NEUTRAL
11285,1500,0,-100,BI,WAITING_NEUTRAL
11364,1500,0,-100,BI,WAITING_NEUTRAL
11442,1500,0,-100,BI,WAITING_NEUTRAL
11520,1500,0,-100,BI,WAITING_NEUTRAL
11597,1500,0,-100,BI,WAITING_NEUTRAL
11676,1500,0,-100,BI,WAITING_NEUTRAL
11754,1500,0,-100,BI,WAITING_NEUTRAL
11832,1500,0,-100,BI,WAITING_NEUTRAL
11910,1500,0,-100,BI,WAITING_NEUTRAL
11987,1500,0,-100,BI,WAITING_NEUTRAL
12066,1500,0,-100,BI,WAITING_NEUTRAL
12144,1500,0,-100,BI,WAITING_NEUTRAL
12222,1500,0,-100,BI,WAITING_NEUTRAL
12300,1500,0,-100,BI,WAITING_NEUTRAL
12379,1500,0,-100,BI,WAITING_NEUTRAL
12456,1500,0,-100,BI,WAITING_NEUTRAL
12534,1500,0,-100,BI,WAITING_NEUTRAL
12612,1500,4,-100,BI,WAITING_NEUTRAL
12690,1500,11,-98,BI,WAITING_NEUTRAL
12767,1500,20,-97,BI,WAITING_NEUTRAL
12845,1500,28,-95,BI,WAITING_NEUTRAL
12922,1500,34,-94,BI,WAITING_NEUTRAL
12999,1500,42,-92,BI,WAITING_NEUTRAL
13077,1500,51,-91,BI,WAITING_NEUTRAL
13155,1500,59,-89,BI,WAITING_NEUTRAL
13232,1500,66,-88,BI,WAITING_NEUTRAL
13309,1500,74,-86,BI,WAITING_NEUTRAL
13386,1500,83,-84,BI,WAITING_NEUTRAL
13464,1500,87,-83,BI,WAITING_NEUTRAL
13542,1500,93,-82,BI,WAITING_NEUTRAL
13619,1500,99,-81,BI,WAITING_NEUTRAL
13697,1500,103,-80,BI,WAITING_NEUTRAL
13774,1500,107,-80,BI,WAITING_NEUTRAL
13851,1500,112,-79,BI,WAITING_NEUTRAL
13929,1500,115,-78,BI,WAITING_NEUTRAL
14006,1500,119,-77,BI,WAITING_NEUTRAL
14084,1500,125,-76,BI,WAITING_NEUTRAL
14161,1500,129,-75,BI,WAITING_NEUTRAL
14238,1500,135,-74,BI,WAITING_NEUTRAL
14316,1500,140,-73,BI,WAITING_NEUTRAL
14393,1500,144,-72,BI,WAITING_NEUTRAL
14471,1500,147,-72,BI,WAITING_NEUTRAL
14547,1500,153,-71,BI,WAITING_NEUTRAL
14625,1500,158,-70,BI,WAITING_NEUTRAL
14703,1500,164,-68,BI,WAITING_NEUTRAL
14780,1500,168,-68,BI,WAITING_NEUTRAL
14858,1500,174,-66,BI,WAITING_NEUTRAL
14936,1500,181,-65,BI,WAITING_NEUTRAL
15012,1500,185,-64,BI,WAITING_NEUTRAL
15090,1500,191,-63,BI,WAITING_NEUTRAL
15168,1500,197,-62,BI,WAITING_NEUTRAL
15245,1500,200,-61,BI,WAITING_NEUTRAL
15323,1500,207,-60,BI,WAITING_NEUTRAL
15400,1500,212,-59,BI,WAITING_NEUTRAL
15477,1500,218,-58,BI,WAITING_NEUTRAL
15555,1500,223,-57,BI,WAITING_NEUTRAL
15633,1500,229,-56,BI,WAITING_NEUTRAL
15710,1500,233,-55,BI,WAITING_NEUTRAL
15788,1500,239,-54,BI,WAITING_NEUTRAL
15865,1500,244,-53,BI,WAITING_NEUTRAL
15942,1500,247,-52,BI,WAITING_NEUTRAL
16020,1500,252,-51,BI,WAITING_NEUTRAL
16098,1500,257,-50,BI,WAITING_NEUTRAL
16175,1500,262,-49,BI,WAITING_NEUTRAL
16252,1500,267,-48,BI,WAITING_NEUTRAL
16330,1500,272,-47,BI,WAITING_NEUTRAL
16407,1500,276,-47,BI,WAITING_NEUTRAL
16485,1500,281,-46,BI,WAITING_NEUTRAL
16562,1500,286,-45,BI,WAITING_NEUTRAL
16640,1500,290,-44,BI,WAITING_NEUTRAL
16717,1500,295,-43,BI,WAITING_NEUTRAL
